Run_ID,Genotype,Lecanemab_mg_kg,Cromolyn_mg_kg,Replicate,Final_Atrophy_Percent,Final_Total_Amyloid,Final_Total_Cytokine
50,APOE3,2.5,40.0,5,18.6,27.653971279750472,1.6931678802327739
51,APOE3,5.0,0.0,1,6.1,30.41422394393311,1.6508869518787799
52,APOE3,5.0,0.0,2,6.7,29.708194076087963,1.6724418211919583
53,APOE3,5.0,0.0,3,20.1,30.444566199920736,1.62500729609161
54,APOE3,5.0,0.0,4,4.8,30.915911219368702,1.664596965468201
55,APOE3,5.0,0.0,5,7.5,26.37572448162367,1.6773872998060773
56,APOE3,5.0,10.0,1,4.8,28.126664420297505,1.6824244010807552
57,APOE3,5.0,10.0,2,8.7,27.196825593485997,1.7277582622916934
58,APOE3,5.0,10.0,3,8.3,28.7671451582679,1.6698337395451504
59,APOE3,5.0,10.0,4,6.1,27.45920797407236,1.6384454579081367
60,APOE3,5.0,10.0,5,5.800000000000001,28.811489463532734,1.684736536360053
61,APOE3,5.0,20.0,1,6.1,31.047389190052677,1.66215113376565
62,APOE3,5.0,20.0,2,22.5,28.281807250337003,1.7248083571670438
63,APOE3,5.0,20.0,3,3.9,26.800271994206767,1.7070532413009905
64,APOE3,5.0,20.0,4,6.3,29.650763436763416,1.6519490441001081
65,APOE3,5.0,20.0,5,4.2,27.135469877156133,1.7082017361435864
66,APOE3,5.0,30.0,1,4.3999999999999995,27.405723654968686,1.6910229717384353
67,APOE3,5.0,30.0,2,4.6,27.609164523029172,1.7021162381680262
68,APOE3,5.0,30.0,3,4.5,29.116615267259952,1.7099469018266023
69,APOE3,5.0,30.0,4,3.8,27.69592459516293,1.6260792336219687
70,APOE3,5.0,30.0,5,7.8,28.36960223625171,1.638087241306668
71,APOE3,5.0,40.0,1,6.0,30.217903963348476,1.6436279258440987
72,APOE3,5.0,40.0,2,8.3,30.153289725606626,1.6236516260584095
73,APOE3,5.0,40.0,3,4.7,28.042812250845643,1.733486999982429
74,APOE3,5.0,40.0,4,4.2,29.61668635757332,1.707175656048057
75,APOE3,5.0,40.0,5,2.9000000000000004,28.480911981580014,1.6717299162972856
76,APOE3,7.5,0.0,1,24.4,28.06965566955223,1.6542716327762224
77,APOE3,7.5,0.0,2,7.8,28.309517229980692,1.6999840460548918
78,APOE3,7.5,0.0,3,5.0,28.50273196534585,1.6630776136520753
79,APOE3,7.5,0.0,4,4.3,27.818710298865554,1.6638452371149872
