Run_ID,Genotype,Lecanemab_mg_kg,Cromolyn_mg_kg,Replicate,Final_Atrophy_Percent,Final_Total_Amyloid,Final_Total_Cytokine
1,APOE4,0.0,0.0,1,17.8,25.516782419785567,0.025399018496001673
2,APOE4,0.0,0.0,2,12.0,29.356069072337224,0.6185830983211871
3,APOE4,0.0,0.0,3,40.300000000000004,521.2657985632585,75.0293674350297
4,APOE4,0.0,0.0,4,27.500000000000004,26.36266012728691,0.6564971713799038
5,APOE4,0.0,0.0,5,34.4,218.88780573651113,7.791017412482415
6,APOE4,0.0,10.0,1,20.3,317.42142950941184,15.28193188438181
7,APOE4,0.0,10.0,2,28.7,220.5160461685624,2.4602516537989674
8,APOE4,0.0,10.0,3,13.200000000000001,27.697790933394195,0.2508420828715089
9,APOE4,0.0,10.0,4,45.4,418.4596339412144,28.27333200745677
10,APOE4,0.0,10.0,5,38.6,624.7154369142409,39.57426384123662
11,APOE4,0.0,20.0,1,19.900000000000002,221.2092869882399,5.6271689919854095
12,APOE4,0.0,20.0,2,24.7,27.71922211548415,0.9449062883806016
13,APOE4,0.0,20.0,3,24.5,619.8960363904529,38.32961634962967
14,APOE4,0.0,20.0,4,20.3,319.5131060815252,30.106525858757365
15,APOE4,0.0,20.0,5,36.9,318.0305511039651,22.83711368835538
16,APOE4,0.0,30.0,1,16.8,27.977165818387537,0.9521866738898429
17,APOE4,0.0,30.0,2,26.0,217.07746791920744,5.50179093601891
18,APOE4,0.0,30.0,3,28.199999999999996,219.40507225704064,15.640354369104621
19,APOE4,0.0,30.0,4,29.799999999999997,218.75568231619422,9.235076870325404
20,APOE4,0.0,30.0,5,22.1,29.16321985637486,0.5575324311272607
21,APOE4,0.0,40.0,1,44.800000000000004,2429.6184718938525,112.13898215757963
22,APOE4,0.0,40.0,2,21.6,122.16087157322312,0.9973920045876802
23,APOE4,0.0,40.0,3,26.900000000000002,28.52556974960331,0.268257135947812
24,APOE4,0.0,40.0,4,31.1,26.353428072367933,0.1320015614893968
25,APOE4,0.0,40.0,5,39.2,28.36009632936042,0.23472477628846042
26,APOE4,2.5,0.0,1,33.0,25.258750631044396,2.16690624089113
27,APOE4,2.5,0.0,2,22.0,125.30078254275419,3.855014069614884
28,APOE4,2.5,0.0,3,30.7,26.880147143104825,2.191803090098185
29,APOE4,2.5,0.0,4,14.899999999999999,28.047334600466378,1.8971480912775491
30,APOE4,2.5,0.0,5,24.9,124.12194938775673,4.791995174293016
31,APOE4,2.5,10.0,1,40.9,222.21433676944093,5.371153250614552
32,APOE4,2.5,10.0,2,14.6,26.897029340021426,2.1363981286768645
33,APOE4,2.5,10.0,3,17.4,122.97282264597564,4.368317853299899
34,APOE4,2.5,10.0,4,34.9,219.578987194067,11.633343719774526
35,APOE4,2.5,10.0,5,31.7,417.4803141352864,19.5991623598435
36,APOE4,2.5,20.0,1,15.4,28.279777552937254,1.891813448058891
37,APOE4,2.5,20.0,2,28.1,27.39269130185395,1.7505879744185138
38,APOE4,2.5,20.0,3,34.4,29.46575074477268,2.6534509958001546
39,APOE4,2.5,20.0,4,14.899999999999999,28.733187778765306,1.9628485134159526
40,APOE4,2.5,20.0,5,32.9,26.39526583730749,1.8318982070908603
41,APOE4,2.5,30.0,1,33.300000000000004,26.973870645578405,1.9412925893693243
42,APOE4,2.5,30.0,2,30.5,326.16960099834773,8.264774943743236
43,APOE4,2.5,30.0,3,47.599999999999994,2133.1203990122895,127.17597637039404
44,APOE4,2.5,30.0,4,39.0,1223.15703563138,82.2987518270437
45,APOE4,2.5,30.0,5,34.4,125.41294097484261,2.668428576370578
46,APOE4,2.5,40.0,1,25.900000000000002,27.03379279711921,2.5556120977984125
47,APOE4,2.5,40.0,2,40.300000000000004,217.2326553283768,7.30833901208622
