Run_ID,Genotype,Lecanemab_mg_kg,Cromolyn_mg_kg,Replicate,Final_Atrophy_Percent,Final_Total_Amyloid,Final_Total_Cytokine
48,APOE4,2.5,40.0,3,29.799999999999997,323.3549656229492,11.841090692372621
49,APOE4,2.5,40.0,4,23.5,317.36598853829287,8.413531077951893
50,APOE4,2.5,40.0,5,28.599999999999998,418.2946389416619,22.596074215052784
51,APOE4,5.0,0.0,1,34.4,119.24929569666111,3.6702645509443617
52,APOE4,5.0,0.0,2,25.3,125.16736637801725,3.8350280722766934
53,APOE4,5.0,0.0,3,15.1,25.983051370496234,2.670229337803094
54,APOE4,5.0,0.0,4,32.800000000000004,620.8015462294293,46.270345407437155
55,APOE4,5.0,0.0,5,32.6,25.920122107640488,2.567455752280269
56,APOE4,5.0,10.0,1,28.1,618.3977683269497,25.314958736099307
57,APOE4,5.0,10.0,2,14.6,126.03962197587511,2.6500715120887657
58,APOE4,5.0,10.0,3,10.2,323.00312476677453,5.345705086357427
59,APOE4,5.0,10.0,4,18.0,26.546047488013585,2.1698878903275975
60,APOE4,5.0,10.0,5,20.1,220.5155445284864,7.904792778131309
61,APOE4,5.0,20.0,1,10.8,120.45694277727446,3.2109980790957917
62,APOE4,5.0,20.0,2,21.7,317.5197935153068,15.752049292741557
63,APOE4,5.0,20.0,3,13.5,26.29170278729285,2.478877082577945
64,APOE4,5.0,20.0,4,30.7,25.55478230396662,1.9287799718348126
65,APOE4,5.0,20.0,5,46.0,1019.2690409314453,39.29195617559311
66,APOE4,5.0,30.0,1,17.599999999999998,123.86406866214779,4.348427046915237
67,APOE4,5.0,30.0,2,30.8,122.04073420330678,2.5694604848244817
68,APOE4,5.0,30.0,3,33.1,223.3858432261342,5.259997085096439
69,APOE4,5.0,30.0,4,35.4,223.20711646066684,5.265420145235586
70,APOE4,5.0,30.0,5,38.7,518.3063695862112,33.01234977604339
71,APOE4,5.0,40.0,1,16.3,418.1585293382316,13.164493301997439
72,APOE4,5.0,40.0,2,16.7,217.4505991964472,9.0945332389057
73,APOE4,5.0,40.0,3,43.4,9862.47631377595,65.69521315409523
74,APOE4,5.0,40.0,4,27.800000000000004,25.34230937758975,2.3778508804662657
75,APOE4,5.0,40.0,5,27.200000000000003,126.43353565966162,4.808985147328221
76,APOE4,7.5,0.0,1,22.1,517.597149406808,13.477105216420082
77,APOE4,7.5,0.0,2,9.1,27.399283790319252,2.8127157815986576
78,APOE4,7.5,0.0,3,44.2,822.1341562419702,85.77436052301564
79,APOE4,7.5,0.0,4,7.3,125.17853991038984,4.7064410346816565
80,APOE4,7.5,0.0,5,10.0,99.16854158002282,6.747171886662535
81,APOE4,7.5,10.0,1,40.699999999999996,619.4966870052232,59.5794820902105
82,APOE4,7.5,10.0,2,35.199999999999996,217.48496795786227,10.672830784500482
83,APOE4,7.5,10.0,3,37.5,1022.230211209814,86.29137124544559
84,APOE4,7.5,10.0,4,24.2,26.9229955500143,1.8506941394979297
85,APOE4,7.5,10.0,5,21.0,317.7818766140673,9.015710135161912
86,APOE4,7.5,20.0,1,26.8,27.828001442389812,2.3392017736589694
87,APOE4,7.5,20.0,2,48.4,1519.6531453024463,45.283733367120014
88,APOE4,7.5,20.0,3,40.699999999999996,317.2996855062501,9.791691483534299
89,APOE4,7.5,20.0,4,28.799999999999997,26.937755642994674,1.8935126476120154
90,APOE4,7.5,20.0,5,37.1,216.56199442613323,11.455655535763578
91,APOE4,7.5,30.0,1,39.300000000000004,12676.5780467911,71.77020407835765
92,APOE4,7.5,30.0,2,15.4,29.22350178069296,2.249576588315291
93,APOE4,7.5,30.0,3,45.300000000000004,1720.1312347782643,52.63146006322636
94,APOE4,7.5,30.0,4,8.3,28.46274304654889,2.4881831123466442
95,APOE4,7.5,30.0,5,26.700000000000003,25.79363924031069,1.8487223279620686
96,APOE4,7.5,40.0,1,23.5,26.162657152802957,1.94352285280893
97,APOE4,7.5,40.0,2,23.200000000000003,26.910977982711092,1.7826551330336327
98,APOE4,7.5,40.0,3,30.0,217.12538514248715,10.4321111584552
99,APOE4,7.5,40.0,4,5.8999999999999995,26.13412269428052,1.8591112405439616
100,APOE4,7.5,40.0,5,7.3,26.580655759630623,1.932044946670525
101,APOE4,10.0,0.0,1,39.900000000000006,517.4039782706272,18.268703610227266
102,APOE4,10.0,0.0,2,28.199999999999996,518.7144367308416,32.153208991013614
103,APOE4,10.0,0.0,3,6.7,25.93016992040512,1.9298081055711607
104,APOE4,10.0,0.0,4,27.1,517.2501650806043,16.57614216915677
105,APOE4,10.0,0.0,5,30.3,416.87541801952045,19.545627775152674
106,APOE4,10.0,10.0,1,10.100000000000001,26.926850480160503,1.7908143679765296
107,APOE4,10.0,10.0,2,34.699999999999996,917.4240469200694,26.60328589775523
108,APOE4,10.0,10.0,3,35.699999999999996,317.94072122317573,22.889892603869736
109,APOE4,10.0,10.0,4,37.3,118.67708379725897,3.462994074581968
110,APOE4,10.0,10.0,5,12.5,26.85521629362789,2.134397807169436
111,APOE4,10.0,20.0,1,27.900000000000002,218.76871903386672,11.412360932461041
112,APOE4,10.0,20.0,2,21.5,27.26722110487732,2.032993943712511
113,APOE4,10.0,20.0,3,11.4,26.538266034598244,2.185353720031034
114,APOE4,10.0,20.0,4,12.6,25.889458890681944,2.178861867989756
115,APOE4,10.0,20.0,5,34.5,519.4324869980264,33.23543413612767
116,APOE4,10.0,30.0,1,24.3,28.236475450984237,2.967769252583211
117,APOE4,10.0,30.0,2,35.8,217.79841286483335,11.360380147094558
118,APOE4,10.0,30.0,3,18.3,122.95451902767692,5.461349044155167
119,APOE4,10.0,30.0,4,29.299999999999997,319.12556368958695,12.66133974230166
120,APOE4,10.0,30.0,5,23.200000000000003,218.84932919609255,8.441744291198374
121,APOE4,10.0,40.0,1,23.1,217.8425817095714,7.7730027924918605
122,APOE4,10.0,40.0,2,21.5,126.5947880306746,3.3901904089164363
123,APOE4,10.0,40.0,3,14.299999999999999,27.043034221909878,2.025957076851044
124,APOE4,10.0,40.0,4,6.9,26.448023755908324,2.3871522562490815
125,APOE4,10.0,40.0,5,40.400000000000006,416.5441815680541,17.810692564788944
