Time,Target,Rank_1_Mean,Rank_1_Std,Rank_2_Mean,Rank_2_Std,Rank_3_Mean,Rank_3_Std,Rank_4_Mean,Rank_4_Std,Rank_5_Mean,Rank_5_Std
0.0,0.07678377327125332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.02002002002002002,0.0771821740593648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04004004004004004,0.07758264038743275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.06006006006006006,0.07798518294771195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.08008008008008008,0.07838981248763183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10010010010010009,0.07879653981007935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.12012012012012012,0.0792053757736834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.14014014014014015,0.07961633129310065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.16016016016016016,0.08002941733930242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.18018018018018017,0.08044464493986388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.20020020020020018,0.0808620251792538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22022022022022023,0.08128156919912628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24024024024024024,0.08170328819861386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2602602602602603,0.08212719343462202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2802802802802803,0.08255329622212522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3003003003003003,0.08298160793446452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3203203203203203,0.08341214000364659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.34034034034034033,0.08384490392064423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.36036036036036034,0.08427991123569856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38038038038038036,0.08471717355862235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.40040040040040037,0.0851567025591056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.42042042042042044,0.08559850996702181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.44044044044044045,0.0860426075727365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.46046046046046046,0.08648900722741677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4804804804804805,0.08693772084334277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5005005005005005,0.08738876039422061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5205205205205206,0.08784213791549685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5405405405405406,0.08829786550467451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5605605605605606,0.08875595532163101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5805805805805806,0.08921641958893688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6006006006006006,0.08967927059217738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6206206206206206,0.09014452068027455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6406406406406406,0.0906121822658114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6606606606606606,0.09108226782535778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6806806806806807,0.09155478989979776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7007007007007007,0.09202976109465864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7207207207207207,0.09250719408044175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7407407407407407,0.09298710159295474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7607607607607607,0.09346949643364572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7807807807807807,0.09395439146993902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8008008008008007,0.09444179963557242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8208208208208209,0.09493173393093657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8408408408408409,0.0954242074234157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8608608608608609,0.0959192332477301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8808808808808809,0.09641682460628052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9009009009009009,0.0969169947694941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
