Run_ID,Genotype,Lecanemab_mg_kg,Cromolyn_mg_kg,Replicate,Final_Atrophy_Percent,Final_Total_Amyloid,Final_Total_Cytokine
1,APOE 4/4,0.0,0.0,1,8.0,130.75232898169372,2.2362897558883077
2,APOE 4/4,0.0,0.0,2,4.3999999999999995,26.63097540241041,0.2600570030618156
3,APOE 4/4,0.0,0.0,3,99.8,158017.37773198896,158.05913330932907
4,APOE 4/4,0.0,0.0,4,8.799999999999999,220.5592751457379,26.893396247822686
5,APOE 4/4,0.0,0.0,5,8.0,28.00365289908705,0.09872793966841333
6,APOE 4/4,0.0,10.0,1,14.099999999999998,3129.8763055288327,58.826163532622935
7,APOE 4/4,0.0,10.0,2,7.6,27.739282486863306,0.4483829785626925
8,APOE 4/4,0.0,10.0,3,4.5,28.941399396613733,1.2287247947459414
9,APOE 4/4,0.0,10.0,4,97.6,141768.35269726175,141.89741287979945
10,APOE 4/4,0.0,10.0,5,7.3999999999999995,428.40837379205794,12.25435086423537
11,APOE 4/4,0.0,20.0,1,99.5,154946.7713810297,132.99416507838592
12,APOE 4/4,0.0,20.0,2,8.0,26.722739897613717,0.34272701502661834
13,APOE 4/4,0.0,20.0,3,99.5,156481.05360994724,135.629762213376
14,APOE 4/4,0.0,20.0,4,99.7,155735.87060246844,133.35922274614285
15,APOE 4/4,0.0,20.0,5,13.4,28.85354744564316,2.2474204109527878
16,APOE 4/4,0.0,30.0,1,5.8999999999999995,126.36409110644905,1.578021722650186
17,APOE 4/4,0.0,30.0,2,5.1,27.52487640837812,0.0738713299426084
18,APOE 4/4,0.0,30.0,4,2.0,29.08390121704343,0.3026440193113362
19,APOE 4/4,0.0,30.0,5,11.4,28.44221150540976,0.4576070572747374
20,APOE 4/4,0.0,40.0,1,2.6,27.72019198461299,0.3413671094948862
21,APOE 4/4,0.0,40.0,2,2.4,28.265263960628374,0.4945719688675772
22,APOE 4/4,0.0,40.0,3,3.4000000000000004,28.235491620469617,0.13912218915284322
23,APOE 4/4,0.0,40.0,4,3.4000000000000004,28.07846317701278,0.13182204157787253
24,APOE 4/4,0.0,40.0,5,4.3999999999999995,129.38764578640172,0.9855744133731851
25,APOE 4/4,2.5,0.0,1,7.3999999999999995,28.06816594427726,2.814990316975214
26,APOE 4/4,2.5,0.0,2,6.0,125.62423769898292,6.262925742091387
27,APOE 4/4,2.5,0.0,3,1.7000000000000002,26.519677672992778,2.564626219219368
28,APOE 4/4,2.5,0.0,4,2.4,447.4940213018239,9.738933086095964
29,APOE 4/4,2.5,0.0,5,30.5,125.54027894968247,4.00542721707367
30,APOE 4/4,2.5,10.0,1,5.0,126.84597795349372,4.340864914469606
31,APOE 4/4,2.5,10.0,2,5.6000000000000005,160.99860957146547,5.202422348886891
32,APOE 4/4,2.5,10.0,3,4.0,473.6348547874854,10.032134603339255
33,APOE 4/4,2.5,10.0,4,10.2,127.07593750115905,3.8791661039748355
34,APOE 4/4,2.5,10.0,5,3.6999999999999997,26.029216142649787,2.7846487526518313
35,APOE 4/4,2.5,20.0,1,3.4000000000000004,28.16635841577654,1.8750940611305458
36,APOE 4/4,2.5,20.0,2,27.900000000000002,1019.8554838512083,30.698431614046545
37,APOE 4/4,2.5,20.0,3,99.6,157556.57534009666,142.85293004573452
38,APOE 4/4,2.5,20.0,4,13.600000000000001,27.70191839276832,2.441291738771041
39,APOE 4/4,2.5,20.0,5,3.5999999999999996,28.19930924951614,2.1970139308061274
40,APOE 4/4,2.5,30.0,1,19.2,217.73152152807606,16.53278931708305
41,APOE 4/4,2.5,30.0,2,16.7,1622.1947378805658,49.201749393986624
42,APOE 4/4,2.5,30.0,3,21.3,5640.135116282033,41.7045844783289
43,APOE 4/4,2.5,30.0,4,14.399999999999999,124.20605555315863,3.8070868315649053
44,APOE 4/4,2.5,30.0,5,16.7,317.9063301646265,15.6049768281676
45,APOE 4/4,2.5,40.0,1,26.200000000000003,6758.905541872307,56.29308916055523
46,APOE 4/4,2.5,40.0,2,16.400000000000002,317.6708066644572,11.994048698616844
47,APOE 4/4,2.5,40.0,3,19.0,218.8974718452249,11.871987799840245
48,APOE 4/4,2.5,40.0,4,3.0,28.547268178801414,2.245932191827894
49,APOE 4/4,2.5,40.0,5,3.5000000000000004,127.62298829945932,4.4176084082284195
50,APOE 4/4,5.0,0.0,1,22.7,320.5468388846013,28.590356637714265
51,APOE 4/4,5.0,0.0,2,2.1,29.013712981287057,2.8554533391516874
52,APOE 4/4,5.0,0.0,3,1.7999999999999998,26.750485321244522,2.1453322925676765
53,APOE 4/4,5.0,0.0,4,26.3,818.6411721499161,18.315269767752714
54,APOE 4/4,5.0,0.0,5,3.8,125.79590853848858,2.884288279280456
55,APOE 4/4,5.0,10.0,1,1.7000000000000002,28.914505278967876,2.7464417257251226
56,APOE 4/4,5.0,10.0,2,3.9,27.072600816751912,2.128498770624605
57,APOE 4/4,5.0,10.0,3,2.1999999999999997,46.48955695755261,3.187693599016449
58,APOE 4/4,5.0,10.0,4,27.1,818.0662797648589,26.998146174824722
59,APOE 4/4,5.0,10.0,5,5.0,126.90586268167577,4.338273871835242
60,APOE 4/4,5.0,20.0,1,3.5000000000000004,28.15617259778847,2.234960777709195
61,APOE 4/4,5.0,20.0,2,6.800000000000001,26.170687778246933,1.8181995531123114
62,APOE 4/4,5.0,20.0,3,6.6000000000000005,325.1439462081528,7.457337271813373
63,APOE 4/4,5.0,20.0,4,4.7,26.836586525955653,2.3058724918663356
64,APOE 4/4,5.0,20.0,5,2.1999999999999997,428.00769878675055,24.056420967924236
