Genotype,Lecanemab_mg_kg,Cromolyn_mg_kg,Final_Atrophy_Percent_mean,Final_Atrophy_Percent_std,Final_Total_Amyloid_mean,Final_Total_Cytokine_mean
APOE 4/4,0.0,0.0,25.8,41.40241538847703,31684.664792883577,37.50952085115406
APOE 4/4,0.0,10.0,26.24,40.04576132376559,29076.66361169322,42.93100700999328
APOE 4/4,0.0,20.0,64.02000000000001,48.711774757239134,93443.85437615772,80.91465949277683
APOE 4/4,0.0,30.0,6.1,3.913225438603472,52.85377005932009,0.603036032294717
APOE 4/4,0.0,40.0,3.2399999999999998,0.7924645102463578,48.33741130582509,0.4184915444932728
APOE 4/4,2.5,0.0,9.6,11.925393075282676,150.64927631355187,5.07738051629112
APOE 4/4,2.5,10.0,5.7,2.628687885618983,182.91691919125068,5.247847344664484
APOE 4/4,2.5,20.0,29.619999999999997,40.377369899487014,31732.099682001186,36.01295227809776
APOE 4/4,2.5,30.0,17.66,2.650094337943463,1584.434752281692,25.370237369826217
APOE 4/4,2.5,40.0,13.620000000000001,10.12580860968644,1490.32881537205,17.36453325181373
APOE 4/4,5.0,0.0,11.34,12.104668520864172,264.1496235751075,10.95814006329336
APOE 4/4,5.0,10.0,7.980000000000001,10.769726087510305,209.4897610999614,7.879810828405229
APOE 4/4,5.0,20.0,4.76,1.980656456834451,166.86301837937887,7.57455821248509
APOE 4/4,5.0,30.0,14.379999999999999,15.915307097257028,326.00485050541477,11.4420900065507
APOE 4/4,5.0,40.0,10.379999999999999,9.355853782525676,66.29379508467493,4.201981959183146
APOE 4/4,7.5,0.0,10.5,9.99474862115101,185.61263056227605,11.615961871852296
APOE 4/4,7.5,10.0,7.5,3.3120990323358384,107.45002428231703,4.5889432993268215
APOE 4/4,7.5,20.0,29.3,37.20215047547654,27169.135854360735,37.80449281604272
APOE 4/4,7.5,30.0,22.68,42.845443164938786,31297.763922394464,31.37028667730876
APOE 4/4,7.5,40.0,22.88,43.038262046695145,31731.8421560749,28.90725235392066
APOE 4/4,10.0,0.0,4.36,2.1113976413740736,46.91522309792433,3.0997563040238982
APOE 4/4,10.0,10.0,25.659999999999997,41.735392654196986,31278.283012932476,32.71436034902505
APOE 4/4,10.0,20.0,11.94,9.524862203727674,574.1680393769891,13.578316917852792
APOE 4/4,10.0,30.0,24.7,35.621412100027705,19887.220599973993,29.61402985584821
APOE 4/4,10.0,40.0,8.24,6.740029673525185,630.2691053394626,8.212508481054376
